Year,Jurisdiction,Fate,Amount,Percentage of plastic recovered,Total plastic generated
2018-2019,ACT,Disposed,22350,,
2018-2019,ACT,Recycled,4564,16.96 %,26914
2018-2019,NSW,Disposed,560476,,
2018-2019,NSW,Recycled,87032,13.44 %,647508
2018-2019,NT,Disposed,31625,,
2018-2019,NT,Recycled,1020,3.12 %,32645
2018-2019,QLD,Disposed,594994,,
2018-2019,QLD,Recycled,47531,7.40 %,642525
2018-2019,SA,Disposed,46684,,
2018-2019,SA,Recycled,18252,25.75 %,70874
2018-2019,SA,Energy recovery,5938,8.38 %,
2018-2019,TAS,Disposed,65073,,
2018-2019,TAS,Recycled,4192,6.05 %,69265
2018-2019,VIC,Disposed,529495,,
2018-2019,VIC,Recycled,142517,21.21 %,672012
2018-2019,WA,Disposed,293825,,
2018-2019,WA,Recycled,19957,6.36 %,313782
,National Average Percentage,National Average,,13.13 %,
,,Total plastic generated,,2475525,